PlantID	fullname	batch_long	batch	species	location	Latitude	Longitude	Altitude	Pool	fullname_v3.5
PB0339	2x-N704-41_Am_Pla_pb0339	2x-N704-41	2x	Am	Pla	42.32362923	2.079576061	1187.693333	core	2x-N704-41_Am_Pla_pb0339_v3.5
PB0341	2x-N704-42_Am_Pla_pb0341	2x-N704-42	2x	Am	Pla	42.32359118	2.079223296	1189.608	core	2x-N704-42_Am_Pla_pb0341_v3.5
PB0342	2x-N704-43_Am_Pla_pb0342	2x-N704-43	2x	Am	Pla	42.32364328	2.079576625	1184.48	core	2x-N704-43_Am_Pla_pb0342_v3.5
PB0343	2x-N704-44_Am_Pla_pb0343	2x-N704-44	2x	Am	Pla	42.32364169	2.080488053	1189.578	core	2x-N704-44_Am_Pla_pb0343_v3.5
PB0344	2x-N704-45_Am_Pla_pb0344	2x-N704-45	2x	Am	Pla	42.32357633	2.079044999	1188.263667	core	2x-N704-45_Am_Pla_pb0344_v3.5
PB0345	2x-N704-46_Am_Pla_pb0345	2x-N704-46	2x	Am	Pla	42.32364871	2.07964289	1186.527	core	2x-N704-46_Am_Pla_pb0345_v3.5
PB0346	2x-N704-47_Am_Pla_pb0346	2x-N704-47	2x	Am	Pla	42.3236927	2.080308902	1179.291	core	2x-N704-47_Am_Pla_pb0346_v3.5
PB0347	2x-N704-48_Am_Pla_pb0347	2x-N704-48	2x	Am	Pla	42.32364439	2.080463957	1187.830667	core	2x-N704-48_Am_Pla_pb0347_v3.5
PB0348	2x-N704-49_Am_Pla_pb0348	2x-N704-49	2x	Am	Pla	42.32365775	2.080460899	1186.888	core	2x-N704-49_Am_Pla_pb0348_v3.5
PB0301	2x-N704-5_Am_Pla_pb0301	2x-N704-5	2x	Am	Pla	42.32362447	2.080352296	1187.797	core	2x-N704-5_Am_Pla_pb0301_v3.5
PB0350	2x-N704-50_Am_Pla_pb0350	2x-N704-50	2x	Am	Pla	42.32365856	2.079845731	1185.229333	core	2x-N704-50_Am_Pla_pb0350_v3.5
PB0351	2x-N704-51_Am_Pla_pb0351	2x-N704-51	2x	Am	Pla	42.32361056	2.079381303	1183.844	core	2x-N704-51_Am_Pla_pb0351_v3.5
PB0352	2x-N704-52_Am_Pla_pb0352	2x-N704-52	2x	Am	Pla	42.32361819	2.079343463	1184.322333	core	2x-N704-52_Am_Pla_pb0352_v3.5
PB0353	2x-N704-53_Am_Pla_pb0353	2x-N704-53	2x	Am	Pla	42.32356616	2.078910162	1181.987333	core	2x-N704-53_Am_Pla_pb0353_v3.5
PB0354	2x-N704-54_Am_Pla_pb0354	2x-N704-54	2x	Am	Pla	42.32357845	2.079020027	1182.446	core	2x-N704-54_Am_Pla_pb0354_v3.5
PB0355	2x-N704-55_Am_Pla_pb0355	2x-N704-55	2x	Am	Pla	42.32362011	2.079289317	1184.330333	core	2x-N704-55_Am_Pla_pb0355_v3.5
PB0356	2x-N704-56_Am_Pla_pb0356	2x-N704-56	2x	Am	Pla	42.32357882	2.079010056	1182.555	core	2x-N704-56_Am_Pla_pb0356_v3.5
PB0357	2x-N704-57_Am_Pla_pb0357	2x-N704-57	2x	Am	Pla	42.32364673	2.079619735	1185.368333	core	2x-N704-57_Am_Pla_pb0357_v3.5
PB0358	2x-N704-58_Am_Pla_pb0358	2x-N704-58	2x	Am	Pla	42.32349091	2.078026074	1185.292667	core	2x-N704-58_Am_Pla_pb0358_v3.5
PB0359	2x-N704-59_Am_Pla_pb0359	2x-N704-59	2x	Am	Pla	42.32361854	2.079293527	1184.3575	core	2x-N704-59_Am_Pla_pb0359_v3.5
PB0302	2x-N704-6_Am_Pla_pb0302	2x-N704-6	2x	Am	Pla	42.32358986	2.079160748	1188.806667	core	2x-N704-6_Am_Pla_pb0302_v3.5
PB0360	2x-N704-60_Am_Pla_pb0360	2x-N704-60	2x	Am	Pla	42.32356521	2.078911585	1182.639	core	2x-N704-60_Am_Pla_pb0360_v3.5
PB0361	2x-N704-61_Am_Pla_pb0361	2x-N704-61	2x	Am	Pla	42.32362269	2.079347682	1184.155	core	2x-N704-61_Am_Pla_pb0361_v3.5
PB0362	2x-N704-62_Am_Pla_pb0362	2x-N704-62	2x	Am	Pla	42.32358023	2.078996713	1184.644	core	2x-N704-62_Am_Pla_pb0362_v3.5
PB0363	2x-N704-63_Am_Pla_pb0363	2x-N704-63	2x	Am	Pla	42.32360572	2.079219076	1185.4345	core	2x-N704-63_Am_Pla_pb0363_v3.5
PB0366	2x-N704-64_Am_Pla_pb0366	2x-N704-64	2x	Am	Pla	42.32361984	2.079412438	1183.65	core	2x-N704-64_Am_Pla_pb0366_v3.5
PB0368	2x-N704-65_Am_Pla_pb0368	2x-N704-65	2x	Am	Pla	42.32361428	2.079334092	1184.390333	core	2x-N704-65_Am_Pla_pb0368_v3.5
PB0369	2x-N704-66_Am_Pla_pb0369	2x-N704-66	2x	Am	Pla	42.32353974	2.078655755	1185.355667	core	2x-N704-66_Am_Pla_pb0369_v3.5
PB0370	2x-N704-67_Am_Pla_pb0370	2x-N704-67	2x	Am	Pla	42.32361074	2.079287933	1184.242667	core	2x-N704-67_Am_Pla_pb0370_v3.5
PB0372	2x-N704-68_Am_Pla_pb0372	2x-N704-68	2x	Am	Pla	42.32379441	2.080700187	1165.803333	core	2x-N704-68_Am_Pla_pb0372_v3.5
PB0374	2x-N704-69_Am_Pla_pb0374	2x-N704-69	2x	Am	Pla	42.32360197	2.079210066	1186.63875	core	2x-N704-69_Am_Pla_pb0374_v3.5
PB0303	2x-N704-7_Am_Pla_pb0303	2x-N704-7	2x	Am	Pla	42.32364879	2.080427263	1187.173333	core	2x-N704-7_Am_Pla_pb0303_v3.5
PB0375	2x-N704-70_Am_Pla_pb0375	2x-N704-70	2x	Am	Pla	42.32354618	2.078744207	1181.836	core	2x-N704-70_Am_Pla_pb0375_v3.5
PB0376	2x-N704-71_Am_Pla_pb0376	2x-N704-71	2x	Am	Pla	42.32359831	2.079203898	1185.389333	core	2x-N704-71_Am_Pla_pb0376_v3.5
PB0377	2x-N704-72_Am_Pla_pb0377	2x-N704-72	2x	Am	Pla	42.32245223	2.073676207	1197.542	core	2x-N704-72_Am_Pla_pb0377_v3.5
PB0378	2x-N704-73_Am_Pla_pb0378	2x-N704-73	2x	Am	Pla	42.32364991	2.079654843	1184.19	core	2x-N704-73_Am_Pla_pb0378_v3.5
PB0380	2x-N704-74_Am_Pla_pb0380	2x-N704-74	2x	Am	Pla	42.32360106	2.079247369	1184.918	core	2x-N704-74_Am_Pla_pb0380_v3.5
PB0381	2x-N704-75_Am_Pla_pb0381	2x-N704-75	2x	Am	Pla	42.32362361	2.079278818	1184.818333	core	2x-N704-75_Am_Pla_pb0381_v3.5
PB0382	2x-N704-76_Am_Pla_pb0382	2x-N704-76	2x	Am	Pla	42.32356188	2.078738873	1186.892	core	2x-N704-76_Am_Pla_pb0382_v3.5
PB0383	2x-N704-77_Am_Pla_pb0383	2x-N704-77	2x	Am	Pla	42.3236028	2.07926042	1184.108667	core	2x-N704-77_Am_Pla_pb0383_v3.5
PB0384	2x-N704-78_Am_Pla_pb0384	2x-N704-78	2x	Am	Pla	42.32365552	2.079763523	1182.50125	core	2x-N704-78_Am_Pla_pb0384_v3.5
PB0385	2x-N704-79_Am_Pla_pb0385	2x-N704-79	2x	Am	Pla	42.32361455	2.079290779	1184.281	core	2x-N704-79_Am_Pla_pb0385_v3.5
PB0306	2x-N704-8_Am_Pla_pb0306	2x-N704-8	2x	Am	Pla	42.32357346	2.079005801	1189.337333	core	2x-N704-8_Am_Pla_pb0306_v3.5
PB0387	2x-N704-80_Am_Pla_pb0387	2x-N704-80	2x	Am	Pla	42.3236518	2.079588379	1184.443667	core	2x-N704-80_Am_Pla_pb0387_v3.5
PB0388	2x-N704-81_Am_Pla_pb0388	2x-N704-81	2x	Am	Pla	42.32365746	2.079515783	1184.301	core	2x-N704-81_Am_Pla_pb0388_v3.5
PB0389	2x-N704-82_Am_Pla_pb0389	2x-N704-82	2x	Am	Pla	42.32357576	2.07893731	1185.402667	core	2x-N704-82_Am_Pla_pb0389_v3.5
PB0390	2x-N704-83_Am_Pla_pb0390	2x-N704-83	2x	Am	Pla	42.32360826	2.079270887	1185.144333	core	2x-N704-83_Am_Pla_pb0390_v3.5
PB0391	2x-N704-84_Am_Pla_pb0391	2x-N704-84	2x	Am	Pla	42.32362044	2.079314072	1184.549333	core	2x-N704-84_Am_Pla_pb0391_v3.5
PB0392	2x-N704-85_Am_Pla_pb0392	2x-N704-85	2x	Am	Pla	42.32263043	2.069720359	1226.371333	core	2x-N704-85_Am_Pla_pb0392_v3.5
PB0393	2x-N704-86_Am_Pla_pb0393	2x-N704-86	2x	Am	Pla	42.32363075	2.079514785	1184.379667	core	2x-N704-86_Am_Pla_pb0393_v3.5
PB0394	2x-N704-87_Am_Pla_pb0394	2x-N704-87	2x	Am	Pla	42.32364543	2.079598415	1186.479667	core	2x-N704-87_Am_Pla_pb0394_v3.5
PB0395	2x-N704-88_Am_Pla_pb0395	2x-N704-88	2x	Am	Pla	42.32364929	2.079605576	1187.691667	core	2x-N704-88_Am_Pla_pb0395_v3.5
PB0396	2x-N704-89_Am_Pla_pb0396	2x-N704-89	2x	Am	Pla	42.3236525	2.079553302	1183.653333	core	2x-N704-89_Am_Pla_pb0396_v3.5
PB0307	2x-N704-9_Am_Pla_pb0307	2x-N704-9	2x	Am	Pla	42.32364053	2.080260789	1185.057333	core	2x-N704-9_Am_Pla_pb0307_v3.5
PB0397	2x-N704-90_Am_Pla_pb0397	2x-N704-90	2x	Am	Pla	42.32365581	2.079777455	1189.261	core	2x-N704-90_Am_Pla_pb0397_v3.5
PB0398	2x-N704-91_Am_Pla_pb0398	2x-N704-91	2x	Am	Pla	42.3236152	2.079254449	1184.474	core	2x-N704-91_Am_Pla_pb0398_v3.5
PB0399	2x-N704-92_Am_Pla_pb0399	2x-N704-92	2x	Am	Pla	42.32362696	2.07936404	1184.087	core	2x-N704-92_Am_Pla_pb0399_v3.5
PB0400	2x-N704-93_Am_Pla_pb0400	2x-N704-93	2x	Am	Pla	42.32361185	2.079332629	1184.046333	core	2x-N704-93_Am_Pla_pb0400_v3.5
PB0401	2x-N704-94_Am_Pla_pb0401	2x-N704-94	2x	Am	Pla	42.32320515	2.076732992	1193.514	core	2x-N704-94_Am_Pla_pb0401_v3.5
PB0402	2x-N704-95_Am_Pla_pb0402	2x-N704-95	2x	Am	Pla	42.32262694	2.069720805	1225.604333	core	2x-N704-95_Am_Pla_pb0402_v3.5
PB0059	2x-N705-1_Am_Pla_pb0059	2x-N705-1	2x	Am	Pla	42.32335306	2.076898606	1178.09125	core	2x-N705-1_Am_Pla_pb0059_v3.5
PB0415	2x-N705-10_Am_Pla_pb0415	2x-N705-10	2x	Am	Pla	42.32285285	2.069429705	1222.962	core	2x-N705-10_Am_Pla_pb0415_v3.5
PB0416	2x-N705-11_Am_Pla_pb0416	2x-N705-11	2x	Am	Pla	42.32282183	2.069437471	1222.319	core	2x-N705-11_Am_Pla_pb0416_v3.5
PB0418	2x-N705-12_Am_Pla_pb0418	2x-N705-12	2x	Am	Pla	42.32340561	2.068484461	1216.779	core	2x-N705-12_Am_Pla_pb0418_v3.5
PB0419	2x-N705-13_Am_Pla_pb0419	2x-N705-13	2x	Am	Pla	42.3228257	2.075121099	1200.105667	core	2x-N705-13_Am_Pla_pb0419_v3.5
PB0420	2x-N705-14_Am_Pla_pb0420	2x-N705-14	2x	Am	Pla	42.32282403	2.069446074	1221.553667	core	2x-N705-14_Am_Pla_pb0420_v3.5
PB0421	2x-N705-15_Am_Pla_pb0421	2x-N705-15	2x	Am	Pla	42.32284476	2.069414122	1222.618	core	2x-N705-15_Am_Pla_pb0421_v3.5
PB0422	2x-N705-16_Am_Pla_pb0422	2x-N705-16	2x	Am	Pla	42.3226363	2.069715626	1226.127667	core	2x-N705-16_Am_Pla_pb0422_v3.5
