ID			Plate	row	column	coord				10 coverage							
pb0306	N704	D08	4	H	1	H1	4H1											
pb0307	N704	D09	4	A	2	A2	4A2											
pb0308	N704	D10	4	B	2	B2	4B2											
pb0309	N704	D11	4	C	2	C2	4C2											
pb0310	N704	D12	4	D	2	D2	4D2											
pb0311	N704	D13	4	E	2	E2	4E2											
pb0312	N704	D14	4	F	2	F2	4F2											
pb0313	N704	D15	4	G	2	G2	4G2											
pb0314	N704	D16	4	H	2	H2	4H2											
pb0315	N704	D17	4	A	3	A3	4A3											
pb0316	N704	D18	4	B	3	B3	4B3											
pb0317	N704	D19	4	C	3	C3	4C3											
pb0318	N704	D20	4	D	3	D3	4D3											
pb0319	N704	D21	4	E	3	E3	4E3											
pb0320	N704	D22	4	F	3	F3	4F3											
pb0321	N704	D23	4	G	3	G3	4G3											
pb0322	N704	D24	4	H	3	H3	4H3											
pb0323	N704	D25	4	A	4	A4	4A4											
pb0324	N704	D26	4	B	4	B4	4B4											
pb0325	N704	D27	4	C	4	C4	4C4											
pb0326	N704	D28	4	D	4	D4	4D4											
pb0327	N704	D29	4	E	4	E4	4E4											
pb0328	N704	D30	4	F	4	F4	4F4											
pb0329	N704	D31	4	G	4	G4	4G4											
pb0330	N704	D32	4	H	4	H4	4H4											
pb0331	N704	D33	4	A	5	A5	4A5											
pb0332	N704	D34	4	B	5	B5	4B5											
pb0333	N704	D35	4	C	5	C5	4C5											
pb0334	N704	D36	4	D	5	D5	4D5											
pb0335	N704	D37	4	E	5	E5	4E5											
pb0336	N704	D38	4	F	5	F5	4F5											
pb0337	N704	D39	4	G	5	G5	4G5											
pb0338	N704	D40	4	H	5	H5	4H5											
pb0339	N704	D41	4	A	6	A6	4A6											
pb0341	N704	D42	4	B	6	B6	4B6											
pb0342	N704	D43	4	C	6	C6	4C6											
pb0343	N704	D44	4	D	6	D6	4D6											
pb0344	N704	D45	4	E	6	E6	4E6											
pb0345	N704	D46	4	F	6	F6	4F6											
pb0346	N704	D47	4	G	6	G6	4G6											
pb0347	N704	D48	4	H	6	H6	4H6											
pb0348	N704	D49	4	A	7	A7	4A7											
pb0350	N704	D51	4	C	7	C7	4C7											
pb0351	N704	D52	4	D	7	D7	4D7											
pb0352	N704	D53	4	E	7	E7	4E7											
pb0353	N704	D54	4	F	7	F7	4F7											
pb0354	N704	D55	4	G	7	G7	4G7											
pb0355	N704	D56	4	H	7	H7	4H7											
pb0356	N704	D57	4	A	8	A8	4A8											
pb0357	N704	D58	4	B	8	B8	4B8											
pb0358	N704	D59	4	C	8	C8	4C8											
pb0359	N704	D60	4	D	8	D8	4D8											
pb0360	N704	D61	4	E	8	E8	4E8											
pb0361	N704	D62	4	F	8	F8	4F8											
pb0362	N704	D63	4	G	8	G8	4G8											
pb0363	N704	D64	4	H	8	H8	4H8											
pb0366	N704	D65	4	A	9	A9	4A9											
pb0368	N704	D66	4	B	9	B9	4B9											
pb0369	N704	D67	4	C	9	C9	4C9											
pb0370	N704	D68	4	D	9	D9	4D9											
pb0372	N704	D69	4	E	9	E9	4E9											
pb0374	N704	D70	4	F	9	F9	4F9											
pb0375	N704	D71	4	G	9	G9	4G9											
pb0376	N704	D72	4	H	9	H9	4H9											
pb0377	N704	D73	4	A	10	A10	4A10											
pb0378	N704	D74	4	B	10	B10	4B10											
