PlantID	Group	Coverage_mean	Coverage_stdev	GT_percentage	MappingQuality	InsertSize_median	Coverage_bin
PB3405	2x	2.3349	28.6492	36.05	41.9006	194	Low
PB3407	2x	2.917	24.1136	35.84	42.3805	198	Low
PB2879	2x	1.2653	10.9842	35.93	43.8616	192	Low
PB3408	2x	2.1576	16.2789	35.89	41.9609	200	Low
PB3409	2x	2.3658	17.5492	35.74	42.1023	196	Low
PB3410	2x	2.1443	17.9634	35.88	41.8973	198	Low
PB3411	2x	2.4736	24.5138	35.92	42.1086	197	Low
PB3412	2x	2.1158	16.0088	35.81	42.0815	198	Low
PB3414	2x	2.1696	15.6988	35.7	42.0755	194	Low
PB3415	2x	2.1346	17.1609	35.62	41.8177	192	Low
PB3417	2x	2.2271	17.3934	35.83	41.9755	199	Low
PB3824	2x	2.3586	18.2203	35.8	42.0441	198	Low
PB3826	2x	2.0874	19.3077	35.78	41.8521	197	Low
PB2880	2x	1.8906	30.8842	36.11	41.5198	193	Low
PB3827	2x	2.331	22.0356	35.76	42.0811	194	Low
PB3828	2x	2.3996	23.7096	35.97	42.0935	198	Low
PB3829	2x	2.9001	18.1334	35.68	42.4416	194	Low
PB3834	2x	2.0186	14.401	35.81	41.9153	194	Low
PB3836	2x	2.438	20.1708	35.82	42.2785	194	Low
PB3837	2x	2.9319	27.5635	35.93	42.4292	194	Low
PB3838	2x	2.232	21.3578	35.89	42.0456	195	Low
PB3839	2x	2.3277	21.0529	35.87	42.2176	192	Low
PB3882	2x	1.9397	17.2205	36.01	41.8626	196	Low
PB3885	2x	2.4596	20.5132	35.87	42.117	199	Low
PB2906	2x	2.0636	11.6225	35.82	41.8788	200	Low
PB3886	2x	2.4074	18.7051	35.87	42.1258	196	Low
PB3887	2x	2.4532	25.0152	35.93	42.0463	193	Low
PB3888	2x	2.9706	20.9465	35.84	42.4696	195	Low
PB3889	2x	2.9509	15.2923	35.81	42.4699	200	Low
PB3890	2x	2.4418	25.6103	35.94	42.0868	192	Low
PB3891	2x	2.2826	16.2077	35.86	41.8879	197	Low
PB3892	2x	2.2351	25.1334	36.02	41.8085	196	Low
PB3893	2x	1.7401	10.636	35.92	41.515	203	Low
PB3894	2x	1.9527	10.5879	35.77	41.9084	202	Low
PB3896	2x	2.5082	12.6693	35.62	42.1951	191	Low
PB2907	2x	1.7608	14.7341	35.97	41.6704	194	Low
PB3897	2x	2.626	20.0759	35.79	42.3431	191	Low
PB3898	2x	2.5688	17.5736	35.86	42.1772	193	Low
PB3899	2x	2.0097	15.0279	35.84	41.8911	190	Low
PB4084	2x	2.0012	17.0131	35.79	41.8792	191	Low
PB4099	2x	2.7338	23.6283	35.71	42.4275	187	Low
PB4102	2x	2.5248	21.5834	35.85	42.3197	191	Low
PB4104	2x	2.5394	16.8631	35.66	42.144	192	Low
PB4108	2x	2.7704	16.9895	35.68	42.4768	191	Low
PB4113	2x	2.7971	17.4024	35.77	42.326	192	Low
PB4116	2x	2.514	18.0377	35.84	42.1837	193	Low
PB2910	2x	1.8066	17.291	35.89	41.6272	202	Low
PB4119	2x	2.3647	14.5331	35.76	42.2296	193	Low
PB4284	2x	2.6518	22.4518	35.74	42.2155	192	Low
PB4285	2x	2.3248	24.5816	35.66	41.9563	186	Low
PB4286	2x	2.3168	18.8977	35.85	42.0661	192	Low
PB4289	2x	2.4909	23.1311	35.91	42.107	192	Low
PB4290	2x	2.4286	15.2098	35.7	42.0675	190	Low
PB4292	2x	2.4908	18.0754	35.81	42.1216	197	Low
PB4293	2x	3.3104	40.8761	36.03	42.318	185	Low
PB4294	2x	1.9972	11.5992	35.83	41.8181	197	Low
PB4295	2x	2.303	14.2623	35.59	42.0281	193	Low
